participant_id	visit	age_at_visit	BFIN1	BFIN2	BFIN3	BFIN4	BFIN5	BFIN6	BFIN7	BFIN8	BFIN9	BFIN10
sub-ON88330	online screening	32	3	4	2	5	2	5	2	4	3	5
sub-ON88401	online screening	21	1	5	2	5	2	2	2	5	2	4
sub-ON88403	online screening	21	4	4	4	4	2	4	2	4	2	4
sub-ON88412	online screening	-999	4	4	2	2	2	2	2	4	4	3
sub-ON88420	online screening	62	1	4	1	4	3	5	2	4	4	2
sub-ON88431	online screening	62	4	4	1	3	3	4	2	4	4	4
sub-ON88454	online screening	54	1	5	1	4	5	5	4	5	4	4
sub-ON88471	online screening	26	4	5	1	2	3	4	1	5	4	4
sub-ON88512	online screening	31	3	4	2	4	2	4	2	4	2	4
sub-ON88520	online screening	47	4	5	2	5	1	5	2	5	4	4
sub-ON88533	online screening	33	4	4	2	2	4	4	5	5	4	3
sub-ON88541	online screening	53	3	4	1	1	5	4	1	5	1	5
sub-ON88542	online screening	27	3	4	3	4	2	4	2	3	4	3
sub-ON88555	online screening	27	5	2	1	4	4	3	2	5	2	5
sub-ON88561	online screening	77	3	4	4	3	5	2	4	4	3	4
sub-ON88605	online screening	65	5	4	2	5	2	3	4	4	1	2
sub-ON88615	online screening	27	4	4	2	4	3	5	2	4	3	2
sub-ON88616	online screening	75	4	5	1	5	4	4	1	5	1	4
sub-ON88623	online screening	34	4	4	5	2	2	4	5	4	5	5
sub-ON88624	online screening	23	4	5	5	5	1	3	1	4	1	5
sub-ON88627	online screening	30	4	4	2	4	2	3	2	4	3	3
sub-ON88640	online screening	55	3	5	2	5	4	4	2	5	2	2
sub-ON88642	online screening	22	2	2	3	3	3	4	3	4	2	5
sub-ON88652	online screening	54	4	5	1	5	3	4	1	5	1	3
sub-ON88660	online screening	41	3	2	1	4	2	1	4	4	2	1
sub-ON88675	online screening	74	4	4	1	5	1	5	4	5	4	4
sub-ON88676	online screening	75	2	1	1	2	3	5	5	5	1	4
sub-ON88700	online screening	23	4	5	4	4	4	3	1	4	2	5
sub-ON88701	online screening	36	4	4	4	4	5	5	2	2	2	4
sub-ON88713	online screening	41	1	3	3	5	2	5	2	5	2	3
sub-ON88731	online screening	42	3	5	-999	1	4	2	4	5	1	4
sub-ON88734	online screening	58	4	4	1	4	1	5	1	5	1	4
sub-ON88736	online screening	90+	4	5	3	5	1	2	1	5	2	4
sub-ON88745	online screening	29	4	2	2	3	4	2	4	5	4	3
sub-ON88753	re-eval online screening	32	2	4	4	2	5	4	5	5	2	2
sub-ON88762	online screening	30	4	5	4	2	2	4	4	4	4	4
sub-ON88777	online screening	68	3	4	1	5	3	4	4	5	1	4
sub-ON88841	online screening	26	4	5	3	2	3	4	3	5	4	4
sub-ON88850	online screening	79	2	4	1	4	1	4	4	4	1	4
sub-ON88864	online screening	62	4	5	1	3	4	5	3	5	4	3
sub-ON88865	online screening	67	1	5	1	4	1	5	2	5	2	4
sub-ON88866	online screening	63	3	5	1	4	3	4	4	4	2	4
sub-ON88885	online screening	55	3	5	3	5	3	5	3	5	3	3
sub-ON89045	online screening	51	3	3	2	3	4	2	4	3	4	4
sub-ON91110	online screening	75	2	5	1	4	3	5	2	4	2	2
sub-ON92121	online screening	24	5	3	2	2	3	2	3	5	5	5
sub-ON92220	online screening	22	5	4	2	2	2	4	2	5	4	3
sub-ON93202	online screening	48	5	4	1	4	2	2	2	5	2	3
sub-ON93220	online screening	23	5	5	4	4	4	2	2	5	4	4
sub-ON93222	online screening	30	4	4	2	5	2	5	2	4	2	5
sub-ON93300	online screening	83	5	4	4	1	3	2	5	3	4	4
sub-ON93301	online screening	66	5	5	2	5	5	3	3	5	2	4
sub-ON93322	online screening	27	4	5	1	2	4	4	3	5	5	5
sub-ON93503	online screening	33	4	4	2	3	4	4	3	4	3	3
sub-ON93520	online screening	50	5	5	3	5	5	3	1	5	1	3
sub-ON93533	online screening	50	1	4	2	1	1	5	2	5	3	5
sub-ON93813	online screening	23	4	5	2	3	1	4	2	5	3	5
sub-ON94031	online screening	66	5	4	4	2	5	2	1	5	4	4
sub-ON94110	online screening	38	2	2	2	4	4	5	3	5	2	4
sub-ON94111	online screening	52	2	4	2	3	2	4	1	5	5	3
sub-ON94113	online screening	22	3	5	1	5	5	5	2	5	3	5
sub-ON94131	online screening	63	3	3	3	3	3	4	3	5	3	4
sub-ON94201	online screening	74	4	4	1	4	1	5	3	5	4	4
sub-ON94222	online screening	38	5	3	1	1	1	3	5	5	5	4
sub-ON94243	online screening	60	4	5	2	4	4	3	4	5	4	3
sub-ON94322	online screening	41	5	3	2	5	4	2	4	5	3	3
sub-ON95023	online screening	74	1	5	1	5	3	5	1	5	3	3
sub-ON95032	online screening	34	-999	5	1	4	3	4	2	4	2	3
sub-ON95111	online screening	63	4	4	2	5	4	4	1	4	1	5
sub-ON95113	online screening	58	4	3	1	4	3	4	3	5	1	3
sub-ON95123	online screening	80	1	4	1	-999	5	5	1	5	-999	1
sub-ON95143	online screening	76	4	4	2	2	1	4	3	1	1	2
sub-ON95201	online screening	38	4	5	2	3	3	4	3	5	4	4
sub-ON95210	online screening	45	4	2	1	4	1	5	2	5	2	5
sub-ON95212	online screening	54	1	5	1	3	1	5	4	5	2	4
sub-ON95214	online screening	23	3	5	2	2	3	4	4	5	4	2
sub-ON95221	online screening	42	4	4	1	4	4	1	1	5	4	4
sub-ON95225	online screening	33	5	3	5	4	1	1	4	5	5	5
sub-ON95310	online screening	68	2	3	4	4	1	2	5	5	2	5
sub-ON95314	online screening	67	4	4	1	5	4	5	3	5	1	4
sub-ON95322	online screening	47	4	5	1	4	3	3	3	5	2	4
sub-ON95325	online screening	24	5	-999	4	5	4	4	2	5	1	4
sub-ON95342	online screening	72	4	4	1	5	5	3	1	5	1	5
sub-ON95414	online screening	26	4	5	2	3	2	4	2	5	4	4
sub-ON95504	online screening	38	4	5	1	4	3	3	1	4	3	4
sub-ON95511	online screening	75	1	5	1	5	1	5	1	5	1	5
sub-ON95520	online screening	28	4	4	2	2	5	4	4	4	4	5
sub-ON95521	online screening	55	2	5	2	3	2	5	4	4	1	4
sub-ON95524	online screening	58	4	4	1	4	5	2	4	4	2	3
sub-ON95530	online screening	79	1	5	2	5	1	5	1	5	1	5
sub-ON95531	online screening	35	2	4	4	4	4	5	3	5	2	4
sub-ON95600	online screening	63	4	5	2	3	2	3	1	3	2	2
sub-ON95654	online screening	79	1	2	3	5	4	4	1	3	1	4
sub-ON95745	online screening	55	4	3	3	3	2	4	3	4	4	5
sub-ON96121	online screening	59	4	3	4	3	3	2	3	3	3	3
sub-ON96133	online screening	63	1	5	1	4	2	5	1	5	1	4
sub-ON96153	online screening	33	2	4	1	2	3	5	4	5	2	1
sub-ON96204	online screening	48	1	5	4	5	2	5	1	5	2	5
sub-ON96215	online screening	52	5	5	1	4	1	2	3	5	4	4
sub-ON96225	online screening	70	4	5	4	2	2	3	4	5	3	4
sub-ON96240	online screening	36	4	5	1	4	1	5	1	5	2	5
sub-ON96241	online screening	73	5	3	2	2	3	1	4	5	4	5
sub-ON96251	online screening	46	4	2	1	3	1	4	4	5	3	4
sub-ON96252	online screening	21	2	5	4	4	3	5	3	4	3	4
sub-ON96313	online screening	62	4	5	4	4	4	1	2	4	2	5
sub-ON96315	online screening	63	5	4	1	4	3	4	2	5	3	3
sub-ON96332	online screening	78	4	5	1	-999	2	5	1	5	1	3
sub-ON96343	online screening	30	5	5	2	1	1	5	4	4	5	5
sub-ON96351	online screening	67	5	5	1	5	3	2	1	5	1	3
sub-ON96353	online screening	46	5	4	2	4	2	3	3	4	4	2
sub-ON96402	online screening	65	3	4	2	4	4	4	2	5	3	3
sub-ON96411	online screening	76	4	4	1	5	1	4	1	5	1	5
sub-ON96412	online screening	72	4	5	2	4	4	2	3	4	4	4
sub-ON96413	online screening	30	2	5	2	4	5	5	3	3	2	4
sub-ON96415	online screening	72	5	4	3	4	5	2	3	4	4	4
sub-ON96420	online screening	22	2	4	2	2	3	4	2	5	4	2
sub-ON96423	online screening	82	5	5	1	5	3	5	4	5	2	5
sub-ON96425	online screening	65	4	4	2	4	1	4	2	4	2	5
sub-ON96433	online screening	66	2	5	1	4	1	5	2	5	1	3
sub-ON96435	online screening	59	5	5	1	4	1	5	1	5	1	3
sub-ON96440	online screening	29	2	5	1	5	4	5	2	5	2	5
sub-ON96453	online screening	66	4	5	2	4	3	2	2	5	2	3
sub-ON96455	online screening	82	4	4	1	4	4	5	3	5	3	4
sub-ON96462	online screening	65	1	5	1	4	1	4	1	5	1	4
sub-ON96510	online screening	41	2	5	1	5	1	5	1	5	1	4
sub-ON96513	online screening	63	1	5	4	5	5	5	4	5	1	5
sub-ON96523	online screening	56	2	2	1	2	5	4	4	4	4	2
sub-ON96524	online screening	57	4	4	3	3	1	2	4	5	3	3
sub-ON96530	online screening	33	4	4	3	5	5	3	4	5	1	4
sub-ON96550	online screening	75	1	5	1	4	3	5	4	5	2	5
sub-ON96555	online screening	45	2	4	2	4	4	4	1	4	1	1
sub-ON96565	online screening	55	5	5	1	5	3	2	4	5	1	4
sub-ON96601	online screening	73	2	4	1	4	1	5	1	5	2	1
sub-ON96602	online screening	28	4	5	3	4	2	3	2	5	3	3
sub-ON96641	online screening	31	5	4	3	5	3	2	2	4	2	2
sub-ON96736	online screening	59	1	5	1	5	1	5	4	5	1	5
sub-ON96752	online screening	23	4	4	2	2	1	4	2	5	4	5
sub-ON96800	online screening	55	5	5	2	4	3	2	2	5	3	4
sub-ON96833	online screening	22	5	4	1	4	1	2	2	4	2	5
sub-ON97045	online screening	62	1	4	1	3	1	5	3	3	4	5
sub-ON97054	online screening	32	4	2	3	5	1	5	2	5	1	3
sub-ON97102	online screening	35	1	5	2	2	1	4	4	5	4	5
sub-ON97115	online screening	40	4	2	2	3	4	2	4	5	4	3
sub-ON97151	online screening	64	5	3	1	2	1	2	2	5	4	4
sub-ON97155	online screening	-999	4	4	2	1	2	3	4	4	2	5
sub-ON97161	online screening	58	1	4	1	1	1	4	4	3	3	5
sub-ON97166	online screening	42	4	4	3	3	2	5	3	4	3	5
sub-ON97203	online screening	68	3	5	2	2	5	4	4	5	4	4
sub-ON97215	online screening	65	1	5	1	4	1	5	5	5	1	5
sub-ON97232	online screening	80	2	4	1	5	2	4	1	5	1	4
sub-ON97241	online screening	61	4	4	1	5	2	3	1	5	2	4
sub-ON97251	online screening	60	5	4	3	4	4	2	2	5	5	4
sub-ON97252	online screening	33	1	4	1	4	4	4	4	5	1	2
sub-ON97264	online screening	23	2	5	1	4	2	4	1	5	1	3
sub-ON97265	online screening	46	5	5	5	1	4	2	3	5	4	3
sub-ON97322	online screening	74	1	5	4	4	1	5	3	5	1	2
sub-ON97324	online screening	71	2	5	1	4	2	4	1	5	1	5
sub-ON97326	online screening	35	2	5	2	5	4	4	2	4	2	3
sub-ON97332	online screening	57	4	4	1	5	4	4	1	5	1	1
sub-ON97340	online screening	40	3	5	2	4	-999	5	3	5	2	3
sub-ON97365	online screening	53	4	3	1	2	1	4	4	5	1	1
sub-ON97415	online screening	56	5	2	2	4	3	1	4	5	1	4
sub-ON97424	online screening	31	5	3	3	2	2	2	4	5	5	3
sub-ON97426	online screening	76	3	5	1	4	2	5	2	5	2	5
sub-ON97427	online screening	22	5	5	3	5	2	2	1	4	4	5
sub-ON97444	online screening	39	1	5	2	4	5	5	1	5	1	3
sub-ON97460	online screening	26	2	3	2	3	1	4	2	3	4	5
sub-ON97462	online screening	20	4	4	3	5	4	2	3	4	4	4
sub-ON97472	online screening	34	3	4	2	3	4	4	3	5	3	5
sub-ON97503	online screening	52	5	3	4	3	2	2	3	4	5	4
sub-ON97510	online screening	39	1	5	3	4	2	5	1	3	1	5
sub-ON97512	online screening	20	2	4	1	3	2	5	3	5	4	5
sub-ON97513	online screening	70	2	4	1	4	3	5	-999	4	2	4
sub-ON97515	online screening	42	3	5	1	5	3	4	2	5	2	3
sub-ON97521	online screening	51	5	5	4	5	3	5	1	5	2	1
sub-ON97522	online screening	67	1	5	1	5	2	5	1	5	1	4
sub-ON97523	online screening	44	4	5	1	5	5	4	1	5	1	4
sub-ON97526	online screening	34	4	4	4	5	4	1	4	5	1	4
sub-ON97536	online screening	52	2	4	5	2	2	4	4	5	4	5
sub-ON97547	online screening	78	4	4	1	4	2	5	4	2	2	2
sub-ON97571	online screening	-999	4	5	-999	4	5	4	5	5	2	2
sub-ON97572	online screening	50	1	4	2	5	4	5	1	4	1	4
sub-ON97600	online screening	70	5	5	3	3	3	2	2	4	4	3
sub-ON97603	online screening	65	4	4	4	3	1	3	3	4	4	5
sub-ON97604	online screening	25	4	4	2	3	2	4	3	4	4	4
sub-ON97620	online screening	70	2	2	2	4	4	4	2	4	2	4
sub-ON97624	online screening	30	4	1	4	5	4	4	3	5	-999	4
sub-ON97645	online screening	58	4	4	3	2	5	2	2	2	4	5
sub-ON97654	online screening	37	5	4	1	5	4	2	2	5	1	4
sub-ON97705	online screening	23	4	4	3	2	1	2	2	4	5	5
sub-ON97710	online screening	62	4	4	2	5	1	4	1	5	1	4
sub-ON97713	online screening	66	4	5	2	4	1	4	3	4	4	3
sub-ON97715	online screening	47	4	4	4	4	4	4	3	5	2	2
sub-ON97723	online screening	22	4	3	3	2	3	3	2	4	5	5
sub-ON97732	online screening	63	3	3	3	3	3	3	3	4	3	4
sub-ON97741	online screening	73	5	5	2	5	1	5	4	5	1	5
sub-ON97744	online screening	72	5	5	1	3	2	2	4	5	3	4
sub-ON97765	online screening	33	4	4	2	3	2	3	3	4	2	3
sub-ON97766	online screening	65	1	5	1	4	4	5	2	5	3	4
sub-ON98026	online screening	70	4	5	1	3	2	2	1	5	4	3
sub-ON98044	online screening	85	1	5	1	5	2	5	4	5	1	5
sub-ON98050	online screening	22	5	2	2	1	2	4	2	5	5	4
sub-ON98054	online screening	71	3	5	4	4	1	4	4	5	4	3
sub-ON98098	re-eval online screening	33	2	5	1	5	1	4	2	4	4	2
sub-ON98103	online screening	76	5	1	1	5	1	4	1	5	3	4
sub-ON98108	online screening	44	4	4	4	5	4	3	2	5	2	4
sub-ON98112	online screening	33	4	4	2	3	2	3	5	4	4	4
sub-ON98121	online screening	54	5	5	5	5	1	2	1	2	2	1
sub-ON98130	online screening	34	4	4	1	4	4	4	2	4	4	4
sub-ON98133	online screening	77	4	2	4	2	1	2	1	5	4	5
sub-ON98142	online screening	60	5	5	1	5	5	3	2	5	1	3
sub-ON98175	online screening	42	4	4	1	5	5	4	2	5	2	4
sub-ON98180	online screening	73	4	5	3	4	2	3	2	5	1	3
sub-ON98212	online screening	43	-999	4	4	1	4	3	3	5	5	4
sub-ON98226	online screening	78	4	3	2	3	2	3	4	4	3	3
sub-ON98232	online screening	52	3	3	1	5	5	5	3	5	1	3
sub-ON98233	online screening	75	4	5	1	1	3	3	1	1	1	3
sub-ON98262	online screening	33	4	3	1	4	4	4	4	4	3	2
sub-ON98281	online screening	61	4	5	3	5	3	4	2	3	1	4
sub-ON98300	online screening	74	5	5	4	4	4	2	2	5	3	5
sub-ON98305	online screening	71	2	5	1	2	1	5	2	5	4	4
sub-ON98306	online screening	40	4	5	2	4	4	4	4	4	2	4
sub-ON98311	online screening	81	4	5	1	4	1	4	3	5	3	5
sub-ON98312	online screening	77	4	3	1	5	3	3	1	5	1	3
sub-ON98315	online screening	32	2	5	1	2	2	5	2	5	4	3
sub-ON98341	online screening	28	2	2	3	2	4	2	4	4	3	3
sub-ON98345	online screening	81	4	2	1	4	1	4	3	5	2	5
sub-ON98350	online screening	22	4	4	2	5	2	2	4	5	2	4
sub-ON98354	online screening	81	4	5	2	4	1	4	1	5	1	4
sub-ON98362	online screening	48	4	4	1	3	5	3	3	4	3	3
sub-ON98363	online screening	25	2	4	1	5	5	5	3	5	2	4
sub-ON98404	online screening	79	4	3	3	5	4	2	3	3	1	4
sub-ON98405	online screening	63	3	5	1	5	5	5	2	5	2	5
sub-ON98413	online screening	63	5	5	4	4	4	5	5	5	4	5
sub-ON98435	online screening	40	2	5	1	5	5	4	3	5	2	5
sub-ON98441	online screening	22	2	4	2	4	3	4	2	5	3	4
sub-ON98455	online screening	69	5	5	1	5	1	3	3	5	1	4
sub-ON98470	online screening	57	5	5	1	2	1	1	2	4	5	5
sub-ON98472	online screening	67	3	4	4	4	3	4	4	4	1	3
sub-ON98473	online screening	67	1	5	1	3	3	4	2	5	2	3
sub-ON98500	online screening	73	3	5	1	5	1	4	3	5	1	3
sub-ON98501	online screening	74	5	2	1	3	1	2	1	5	2	5
sub-ON98502	online screening	37	4	4	4	4	2	4	2	4	1	2
sub-ON98512	online screening	33	4	4	3	2	1	3	5	4	4	5
sub-ON98513	online screening	56	5	4	1	2	1	3	3	5	5	5
sub-ON98514	online screening	24	2	2	1	3	2	4	4	5	2	4
sub-ON98517	online screening	63	4	5	1	5	4	5	4	5	1	4
sub-ON98524	online screening	-999	1	5	1	5	1	5	1	5	3	5
sub-ON98525	online screening	32	4	4	1	2	1	4	2	5	4	5
sub-ON98531	online screening	34	2	4	2	3	2	4	3	4	4	4
sub-ON98565	online screening	65	1	1	1	4	5	5	4	5	1	5
sub-ON98577	online screening	48	5	4	4	2	5	1	4	5	4	2
sub-ON98602	online screening	37	5	3	4	2	1	2	2	4	3	5
sub-ON98611	online screening	43	4	3	3	4	-999	2	3	4	3	3
sub-ON98621	online screening	66	4	2	4	5	4	4	4	5	1	5
sub-ON98626	online screening	60	5	1	1	5	2	4	1	5	1	2
sub-ON98631	online screening	73	4	4	1	3	1	4	4	5	3	3
sub-ON98637	online screening	68	4	4	1	3	3	5	1	5	3	3
sub-ON98642	online screening	31	2	4	4	4	1	5	4	4	4	4
sub-ON98645	online screening	39	4	2	3	3	4	2	4	4	4	2
sub-ON98657	online screening	67	1	4	1	5	2	5	2	5	4	5
sub-ON98664	online screening	22	3	4	2	4	4	2	2	4	2	5
sub-ON98674	online screening	74	3	5	4	3	3	5	4	5	4	4
sub-ON98676	online screening	38	4	2	1	1	3	3	3	4	5	4
sub-ON98680	online screening	67	5	5	1	5	3	4	1	5	2	4
sub-ON98683	online screening	45	3	3	3	4	3	3	1	4	3	4
sub-ON98735	online screening	41	4	5	1	5	1	5	3	4	1	5
sub-ON98745	online screening	23	3	5	1	4	4	5	1	5	3	4
sub-ON98747	online screening	35	4	3	1	5	1	5	1	5	1	2
sub-ON98782	online screening	23	2	4	2	4	1	2	2	4	2	5
sub-ON98802	online screening	33	4	5	1	5	5	4	3	5	3	5
sub-ON98805	online screening	23	4	5	1	3	4	4	2	5	3	2
sub-ON98815	online screening	31	4	4	2	4	4	4	2	3	2	4
sub-ON98816	online screening	33	3	5	2	4	1	5	2	5	4	4
sub-ON98826	online screening	31	1	5	1	5	1	5	4	5	2	4
sub-ON98833	online screening	74	4	5	4	5	1	5	4	4	1	5
sub-ON98834	online screening	69	3	3	1	3	1	3	2	2	4	3
sub-ON98851	online screening	53	3	2	3	3	2	2	2	3	2	5
sub-ON98866	online screening	42	2	5	3	5	3	5	3	5	1	2
sub-ON98884	online screening	25	5	4	1	5	3	5	2	5	2	3
sub-ON99106	online screening	53	1	4	2	5	2	5	3	4	2	4
sub-ON99160	online screening	43	1	5	2	5	4	3	3	5	4	5
sub-ON99206	online screening	62	3	5	2	2	5	3	3	4	4	2
sub-ON99300	online screening	28	4	2	1	2	2	3	3	4	5	5
sub-ON99303	online screening	21	4	5	4	4	4	5	4	2	3	4
sub-ON99321	online screening	49	3	5	1	5	2	5	2	5	2	3
sub-ON99351	online screening	30	4	5	3	4	1	5	1	5	3	5
sub-ON99400	online screening	65	4	3	1	4	1	4	3	4	3	3
sub-ON99413	online screening	69	5	4	1	5	5	5	1	5	1	3
sub-ON99428	online screening	41	5	4	2	2	5	2	2	3	4	5
sub-ON99430	online screening	56	2	5	2	2	2	4	1	5	2	4
sub-ON99472	online screening	60	4	5	3	5	5	5	3	5	3	2
sub-ON99482	online screening	46	5	4	2	5	1	4	2	5	1	4
sub-ON99514	online screening	63	5	5	1	5	2	3	4	5	1	4
sub-ON99531	online screening	30	2	4	2	4	1	4	3	5	1	4
sub-ON99547	online screening	22	3	4	2	4	2	5	3	5	3	4
sub-ON99585	online screening	26	5	5	4	1	5	2	4	5	5	5
sub-ON99601	online screening	40	5	5	4	5	5	5	-999	5	5	5
sub-ON99606	online screening	52	4	3	1	5	1	4	1	5	1	5
sub-ON99615	online screening	32	5	3	2	2	3	1	4	5	4	4
sub-ON99623	online screening	25	1	4	2	4	4	4	1	4	4	5
sub-ON99633	online screening	22	2	5	2	4	4	4	2	5	2	4
sub-ON99636	online screening	-999	4	5	4	5	3	5	2	4	2	2
sub-ON99637	online screening	55	1	5	1	3	5	5	5	5	1	5
sub-ON99640	online screening	-999	4	4	1	2	1	4	2	5	1	4
sub-ON99641	online screening	27	3	5	2	5	2	4	3	5	2	4
sub-ON99655	online screening	23	5	4	2	3	2	2	3	5	4	5
sub-ON99656	online screening	35	5	5	1	5	5	5	1	5	1	3
sub-ON99661	online screening	67	4	4	4	4	3	2	2	3	2	2
sub-ON99674	online screening	53	5	5	1	5	5	5	1	5	1	5
sub-ON99700	online screening	64	4	3	1	4	4	2	4	4	3	3
sub-ON99703	online screening	24	1	5	5	5	4	5	3	2	1	5
sub-ON99724	online screening	50	4	4	1	4	3	3	1	5	3	2
sub-ON99731	online screening	58	4	4	3	4	1	3	3	5	2	5
sub-ON99735	online screening	74	4	5	1	5	2	4	1	4	2	4
sub-ON99740	online screening	58	3	4	2	4	3	4	3	4	3	4
sub-ON99746	online screening	39	5	3	1	4	1	5	4	5	2	5
sub-ON99765	online screening	35	4	4	5	4	2	5	2	4	5	5
sub-ON99803	online screening	-999	3	5	1	3	2	5	1	5	4	5
sub-ON99834	online screening	78	2	5	2	2	3	5	4	5	2	5
sub-ON99851	online screening	74	5	5	1	4	5	2	4	5	4	4
sub-ON99855	online screening	28	4	4	1	2	5	5	4	4	5	5
sub-ON99857	online screening	79	3	5	1	2	4	5	1	5	4	4
sub-ON99862	online screening	38	4	4	2	3	2	2	4	4	5	5
sub-ON99867	online screening	36	4	2	4	1	2	5	4	5	5	5
sub-ON99882	online screening	74	4	4	3	5	1	4	1	5	1	5
sub-ON99887	online screening	61	4	2	3	4	2	4	4	5	2	4
sub-ON99918	online screening	32	2	4	3	3	1	5	3	4	2	5
sub-ON99943	online screening	37	2	4	2	4	2	5	3	4	2	4
sub-ON99961	online screening	-999	4	5	1	4	4	5	1	5	1	5
sub-ON99978	online screening	66	3	2	2	4	2	4	4	5	2	2
sub-ON99980	online screening	58	4	-999	3	3	2	2	4	5	2	2
sub-ON99987	online screening	79	1	5	2	5	3	5	2	5	1	4
